1891 182 149 3019 
2079 190 150 3018 
1944 186 150 3026 
149 1742 150 2983 
1732 183 150 3013 
1984 189 149 3003 
1181 189 150 2908 
153 1390 150 2890 
632 174 150 3168 
142 1750 149 2994 
1224 189 150 2819 
958 188 151 2782 
156 1495 150 2937 
1777 190 150 3010 
146 1823 151 3012 
2093 179 149 3015 
1345 183 150 2905 
153 1382 150 2977 
1398 179 150 2925 
154 1709 150 3001 
1725 180 150 3007 
156 1816 150 3027 
1611 182 150 2974 
1546 187 150 2966 
156 1363 150 2927 
156 1534 150 2928 
1032 176 151 981 
1978 178 150 3020 
146 1494 150 2924 
1562 189 150 3007 
406 174 151 3168 
148 1305 150 2979 
873 189 149 2753 
1516 178 150 2991 
150 182 150 3078 
1802 181 150 3029 
152 1501 150 2990 
155 1736 150 2990 
891 188 150 2994 
1787 171 149 2992 
294 186 150 3167 
1283 179 150 2979 
1447 187 151 2973 
151 1319 150 2919 
146 1746 150 2984 
1325 189 150 2930 
143 1701 151 2958 
151 1671 150 2997 
2144 177 150 3033 
1371 178 150 2942 
155 1105 151 2870 
1370 179 149 2943 
1776 185 150 3026 
1283 175 150 2927 
1971 185 150 3044 
518 1297 150 2889 
144 1802 150 3006 
152 1046 150 2763 
147 1714 151 2984 
507 1374 150 2936 
143 1356 150 2877 
143 1509 150 2988 
151 1007 150 2789 
1623 171 151 2971 
1937 188 150 3018 
1912 183 150 3025 
1184 187 150 2926 
1321 189 150 381 
1491 185 149 2961 
156 4095 149 3075 
1435 184 150 2933 
152 1011 150 2742 
612 189 150 3168 
151 1753 150 2972 
1997 188 150 3003 
149 1655 150 2938 
1146 185 150 2978 
147 1694 149 2984 
2032 173 151 1616 
920 188 149 2583 
1574 190 150 2967 
1312 184 150 2958 
1051 170 149 2744 
1031 171 150 2874 
1611 174 150 2970 
150 1795 150 2985 
1264 184 151 2981 
2015 177 150 3018 
1104 185 150 2848 
156 1539 150 2979 
1334 188 150 2987 
1778 189 149 2998 
144 172 150 3168 
151 2068 150 3013 
156 850 149 2505 
987 189 150 2698 
148 460 152 3168 
1237 182 150 2972 
148 1142 150 2806 
1570 178 150 2994 
156 1604 149 2973 
1304 170 150 2927 
1598 174 150 2960 
3187 176 149 3034 
1103 179 151 2846 
149 1199 150 2952 
156 1812 150 3017 
295 4095 149 3058 
149 351 149 3168 
143 1448 151 2976 
227 173 150 3168 
156 1251 150 2876 
1489 189 151 2969 
152 1486 150 2966 
146 1700 150 2972 
155 1652 150 2995 
1387 172 150 2985 
180 185 151 3168 
1670 189 149 2997 
1132 174 150 2894 
157 4095 147 3078 
145 1760 150 3009 
1397 189 151 2975 
1704 174 150 3048 
152 1075 150 2802 
2016 171 149 3020 
152 1135 149 2870 
324 189 151 3167 
156 1144 150 2834 
149 1412 150 2898 
4095 178 139 327 
1462 178 150 2958 
156 1272 150 2775 
2063 183 150 3020 
1457 170 150 1412 
1434 173 151 2926 
152 184 151 3072 
4095 174 138 3092 
2031 188 149 4095 
152 1683 150 2997 
1945 172 150 2993 
675 173 151 3168 
1533 182 150 2973 
151 1606 150 3004 
2026 177 149 3009 
239 174 150 3168 
1189 189 150 2953 
1249 170 150 2915 
145 1451 151 995 
155 1240 150 2918 
1824 172 150 2995 
154 1744 149 2989 
4095 675 145 3083 
2096 186 149 3018 
1657 177 150 2992 
151 1412 150 940 
1845 189 150 3008 
1952 172 151 3005 
1214 186 150 2959 
156 189 151 3072 
156 4095 147 1529 
1484 187 149 2977 
1894 185 150 3000 
144 1326 150 2906 
149 1438 150 2957 
2111 179 150 3002 
153 1632 150 3002 
1481 187 150 2990 
1392 177 150 2938 
1606 186 150 3016 
155 1299 150 2893 
141 1382 150 2934 
1645 183 150 3007 
1465 176 150 2966 
4095 171 141 3075 
1644 188 150 2976 
2041 182 150 3035 
1132 190 150 3168 
155 1802 150 3009 
2080 182 150 3031 
1657 184 150 3006 
1710 171 150 3002 
1162 181 150 2868 
153 291 149 3169 
152 1740 149 2984 
1210 171 150 2803 
2068 170 150 3039 
1518 172 151 2983 
146 1140 151 2845 
152 1633 150 2979 
1533 189 151 847 
1414 184 150 2948 
143 4095 130 2605 
145 1522 150 2996 
151 186 150 3083 
1648 181 149 2951 
1167 182 151 2929 
2130 175 150 3019 
2035 177 150 3020 
1846 169 149 3017 
152 1257 150 2883 
1184 170 150 2850 
650 1191 150 2837 
146 1754 150 2982 
142 170 150 2969 
151 1686 149 2984 
2046 182 150 3018 
1209 186 150 2903 
1873 169 149 2986 
1666 178 149 3000 
1473 182 150 2951 
1762 179 150 3012 
156 1783 149 2993 
1380 183 150 2927 
1629 169 150 3040 
2004 174 150 3009 
1494 170 150 2964 
1165 177 150 2868 
607 190 150 3168 
151 1534 150 2991 
1115 190 151 2819 
156 1813 150 3002 
1979 187 150 3011 
149 1218 150 2814 
1896 170 150 3034 
150 4095 148 3054 
154 4095 130 3093 
1667 190 150 3002 
1580 170 150 2999 
150 1690 150 2970 
142 1312 150 2920 
152 1422 151 2954 
151 177 151 3168 
151 1000 149 2682 
1936 179 150 3025 
1867 177 150 3021 
1768 185 150 815 
1630 181 150 2947 
1543 174 149 2979 
1338 170 150 2886 
1786 182 150 2998 
1899 180 150 335 
1644 170 150 3000 
150 307 150 3168 
1479 186 150 2954 
1477 186 151 2968 
1332 171 150 2935 
1229 486 149 2890 
1293 171 151 2984 
1846 175 150 3012 
1952 184 150 3004 
155 1588 151 2918 
1812 190 150 2994 
1401 179 151 2961 
156 1769 150 2982 
144 1603 150 2976 
154 1332 150 2991 
150 1787 149 3003 
1356 184 151 2946 
1896 173 150 2810 
